City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Alofi,NU,2021-08-09 04:05:31,-19.0595,-169.9187,76.89,94,75,4.61
147,Cherskiy,RU,2021-08-09 04:05:32,68.75,161.3,65.52,28,56,6.71
148,Sarab,IR,2021-08-09 04:05:32,38.6066,44.9883,79.79,40,91,4.52
149,Longyearbyen,SJ,2021-08-09 04:01:02,78.2186,15.6401,40.84,87,75,4.61
150,Kavieng,PG,2021-08-09 04:05:33,-2.5744,150.7967,84.85,67,39,11.18
151,Saldanha,ZA,2021-08-09 04:05:33,-33.0117,17.9442,54.86,67,73,20.18
152,Necochea,AR,2021-08-09 04:00:35,-38.5473,-58.7368,45.03,85,72,3.49
153,Olafsvik,IS,2021-08-09 04:02:08,64.8945,-23.7142,55.36,89,100,11.23
154,Lebu,CL,2021-08-09 04:05:34,-37.6167,-73.65,43.74,84,3,6.15
155,Kushiro,JP,2021-08-09 04:05:35,42.975,144.3747,59.95,94,75,14.97
156,Vestmannaeyjar,IS,2021-08-09 04:05:35,63.4427,-20.2734,56.35,78,100,9.48
157,Yar-Sale,RU,2021-08-09 04:05:36,66.8333,70.8333,53.82,66,100,16.6
158,Codrington,AU,2021-08-09 04:05:36,-38.2667,141.9667,59.02,65,47,14.81
159,San Quintin,MX,2021-08-09 04:03:15,30.4833,-115.95,67.53,82,4,6.85
160,Northam,GB,2021-08-09 04:05:37,51.0333,-4.2167,59.67,96,95,13.18
161,Linguere,SN,2021-08-09 04:05:38,15.3953,-15.1193,78.93,78,70,11.21
162,Changli,CN,2021-08-09 04:05:38,39.7042,119.1506,84.76,61,32,7.81
163,Weligama,LK,2021-08-09 04:05:39,5.9667,80.4167,81.43,76,99,11.27
164,Bowen,AU,2021-08-09 04:05:39,-20.0167,148.2333,73.89,56,0,19.75
165,Nabire,ID,2021-08-09 04:01:52,-3.3667,135.4833,81.7,79,89,2.62
166,Los Llanos De Aridane,ES,2021-08-09 04:02:16,28.6585,-17.9182,69.55,92,75,6.91
167,Broken Hill,AU,2021-08-09 04:03:28,-31.95,141.4333,61.2,36,0,6.73
168,Lincoln,US,2021-08-09 04:05:40,40.8,-96.667,78.3,84,1,1.99
169,La Macarena,CO,2021-08-09 04:05:40,2.1837,-73.7849,70.84,98,57,2.1
170,Angoram,PG,2021-08-09 04:05:40,-4.0625,144.0661,87.03,63,87,4.52
171,Vanino,RU,2021-08-09 04:05:41,49.0869,140.2543,58.77,70,99,8.86
172,Yinchuan,CN,2021-08-09 04:05:41,38.4681,106.2731,90.61,15,0,1.83
173,Hasaki,JP,2021-08-09 04:05:42,35.7333,140.8333,88.2,82,60,30.76
174,Oussouye,SN,2021-08-09 04:05:42,12.485,-16.5469,77.29,88,97,7.43
175,Plettenberg Bay,ZA,2021-08-09 04:05:42,-34.0527,23.3716,54.32,86,100,19.93
176,Storforshei,NO,2021-08-09 04:05:43,66.4043,14.5233,62.38,77,75,4.61
177,Gamba,GA,2021-08-09 04:05:43,-2.65,10.0,72.86,84,85,4.29
178,Zhezkazgan,KZ,2021-08-09 04:05:44,47.8043,67.7144,70.83,36,0,14.23
179,Marawi,PH,2021-08-09 04:05:44,7.9986,124.2928,72.16,82,100,2.46
180,Mizan Teferi,ET,2021-08-09 04:05:45,6.9833,35.5833,60.69,97,100,1.7
181,Esperance,AU,2021-08-09 04:05:45,-33.8667,121.9,63.97,71,33,21.88
182,Atar,MR,2021-08-09 04:05:45,20.5169,-13.0499,87.55,24,27,5.21
183,Cabo San Lucas,MX,2021-08-09 04:04:18,22.8909,-109.9124,86.61,67,16,1.39
184,Lufilufi,WS,2021-08-09 04:05:46,-13.8745,-171.5986,81.64,78,92,17.16
185,Santa Cruz,BO,2021-08-09 04:05:46,-17.8,-63.1667,74.66,69,15,10.36
186,Cochrane,CA,2021-08-09 04:05:47,51.1834,-114.4687,55.47,60,99,4.03
187,Mocuba,MZ,2021-08-09 04:05:47,-16.8392,36.9856,58.44,96,0,2.51
188,Kabare,CD,2021-08-09 04:05:47,-2.4683,28.8242,59.68,86,36,1.34
189,Kawalu,ID,2021-08-09 04:05:48,-7.3817,108.2082,85.53,62,64,4.07
190,Ribeira Grande,PT,2021-08-09 04:05:48,38.5167,-28.7,72.34,88,60,12.64
191,San Policarpo,PH,2021-08-09 04:02:11,12.1791,125.5072,84.51,67,100,2.57
192,Dingle,PH,2021-08-09 04:05:49,10.9995,122.6711,80.08,85,100,3.02
193,Lompoc,US,2021-08-09 04:03:02,34.6391,-120.4579,65.79,94,90,5.75
194,Kankan,GN,2021-08-09 04:05:49,10.3854,-9.3057,69.78,99,100,2.89
195,Bandarbeyla,SO,2021-08-09 04:03:24,9.4942,50.8122,77.97,72,69,26.53
196,Port Elizabeth,ZA,2021-08-09 04:01:04,-33.918,25.5701,57.49,82,75,21.85
197,Linxia,CN,2021-08-09 04:05:50,35.6003,103.2064,78.67,35,52,5.53
198,Rocha,UY,2021-08-09 04:05:50,-34.4833,-54.3333,52.65,96,100,13.8
199,College,US,2021-08-09 04:05:51,64.8569,-147.8028,60.75,91,90,8.05
200,Priiskovyy,RU,2021-08-09 04:05:51,51.9333,116.6333,65.32,89,100,6.02
201,Maua,BR,2021-08-09 04:05:51,-23.6678,-46.4614,62.89,69,35,4.81
202,Deputatskiy,RU,2021-08-09 04:05:52,69.3,139.9,76.42,31,16,1.92
203,Caluquembe,AO,2021-08-09 04:05:52,-13.7833,14.6833,51.96,42,40,0.4
204,Tawau,MY,2021-08-09 04:05:53,4.2498,117.8871,85.77,65,47,5.08
205,Ballina,AU,2021-08-09 04:05:53,-28.8667,153.5667,63.79,73,97,8.81
206,Klaksvik,FO,2021-08-09 04:00:59,62.2266,-6.589,49.12,93,100,2.39
207,Namtsy,RU,2021-08-09 04:05:54,62.7161,129.6658,78.91,17,81,10.49
208,Borogontsy,RU,2021-08-09 04:05:54,62.6683,131.1683,81.28,20,35,9.08
209,Puerto Colombia,CO,2021-08-09 04:05:54,10.9878,-74.9547,80.69,79,100,19.91
210,Oudtshoorn,ZA,2021-08-09 04:02:40,-33.5907,22.2014,51.17,86,100,11.39
211,Sitka,US,2021-08-09 04:05:55,57.0531,-135.33,57.09,88,90,8.05
212,Syracuse,IT,2021-08-09 04:05:55,37.0881,15.2792,86.43,58,0,5.97
213,Evensk,RU,2021-08-09 04:05:56,61.95,159.2333,66.02,45,21,4.94
214,Hammerfest,NO,2021-08-09 04:03:12,70.6634,23.6821,63.05,55,0,6.91
215,Vila Franca Do Campo,PT,2021-08-09 04:05:56,37.7167,-25.4333,70.21,89,50,10.29
216,Mnogovershinnyy,RU,2021-08-09 04:05:57,53.9353,139.9242,64.35,42,0,6.11
217,Mahebourg,MU,2021-08-09 04:05:57,-20.4081,57.7,70.25,84,89,13.78
218,Chokurdakh,RU,2021-08-09 04:05:57,70.6333,147.9167,75.02,29,77,13.69
