City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
77,Sibu,MY,2021-08-10 03:24:14,2.3,111.8167,84.51,74,40,4.61,scattered clouds
78,Novobureyskiy,RU,2021-08-10 03:24:14,49.798,129.8774,64.65,62,95,3.83,overcast clouds
79,Altay,CN,2021-08-10 03:24:15,47.8667,88.1167,70.97,46,100,10.07,light rain
80,Saint George,US,2021-08-10 03:20:18,37.1041,-113.5841,97.39,15,1,1.99,clear sky
81,San Patricio,US,2021-08-10 03:24:15,28.017,-97.5169,85.89,72,4,15.35,clear sky
82,Poum,NC,2021-08-10 03:24:15,-20.2333,164.0167,71.24,61,83,16.71,broken clouds
83,Masyaf,SY,2021-08-10 03:24:16,35.0653,36.3406,71.65,89,5,6.24,clear sky
84,Carballo,ES,2021-08-10 03:24:16,43.213,-8.691,59.86,84,0,1.41,clear sky
85,Takoradi,GH,2021-08-10 03:24:17,4.8845,-1.7554,74.5,90,95,5.59,overcast clouds
86,Palmas Bellas,PA,2021-08-10 03:24:17,9.2319,-80.0867,78.71,87,100,3.91,overcast clouds
87,Bac Lieu,VN,2021-08-10 03:24:17,9.285,105.7244,88.66,61,75,12.33,broken clouds
88,Tiksi,RU,2021-08-10 03:19:54,71.6872,128.8694,55.8,64,78,6.35,broken clouds
89,Upernavik,GL,2021-08-10 03:24:18,72.7868,-56.1549,43.09,69,70,8.68,broken clouds
90,Abu Dhabi,AE,2021-08-10 03:24:18,24.4667,54.3667,95.11,43,0,4.61,clear sky
91,Klaksvik,FO,2021-08-10 03:24:19,62.2266,-6.589,49.12,95,97,7.81,overcast clouds
92,Kapaa,US,2021-08-10 03:24:19,22.0752,-159.319,84.52,66,1,4.0,clear sky
93,Clyde River,CA,2021-08-10 03:24:20,70.4692,-68.5914,35.83,100,90,9.22,light rain
94,Port Hawkesbury,CA,2021-08-10 03:24:20,45.6169,-61.3485,61.7,98,90,1.01,overcast clouds
95,Dalbandin,PK,2021-08-10 03:24:20,28.8947,64.4101,88.21,21,0,3.74,clear sky
96,Ribeira Grande,PT,2021-08-10 03:19:49,38.5167,-28.7,71.44,84,0,3.15,clear sky
97,Dicabisagan,PH,2021-08-10 03:24:21,17.0818,122.4157,87.21,68,100,3.09,overcast clouds
98,Marawi,PH,2021-08-10 03:24:21,7.9986,124.2928,81.9,57,100,2.01,overcast clouds
99,Aketi,CD,2021-08-10 03:24:22,2.7388,23.7833,69.28,96,61,0.34,broken clouds
100,Isangel,VU,2021-08-10 03:24:22,-19.55,169.2667,75.31,57,40,9.22,scattered clouds
101,Alice Springs,AU,2021-08-10 03:24:22,-23.7,133.8833,78.35,12,0,10.36,clear sky
102,Kaitangata,NZ,2021-08-10 03:24:23,-46.2817,169.8464,48.45,87,77,11.43,broken clouds
103,Cherskiy,RU,2021-08-10 03:24:23,68.75,161.3,70.11,41,92,12.03,overcast clouds
104,Esqueda,MX,2021-08-10 03:24:25,30.7167,-109.5833,77.27,57,42,2.84,scattered clouds
105,Saldanha,ZA,2021-08-10 03:24:25,-33.0117,17.9442,41.05,72,0,8.19,clear sky
106,Zheleznodorozhnyy,RU,2021-08-10 03:24:26,55.7503,38.0042,68.52,75,8,5.17,clear sky
107,Santa Cruz Del Sur,CU,2021-08-10 03:24:26,20.7147,-77.9956,78.24,88,11,14.67,few clouds
108,Pierre,US,2021-08-10 03:24:26,44.3683,-100.351,81.05,80,1,3.0,clear sky
109,Pevek,RU,2021-08-10 03:24:27,69.7008,170.3133,43.47,69,97,7.29,overcast clouds
110,Deblin,PL,2021-08-10 03:24:28,51.5591,21.8483,58.19,66,91,2.48,overcast clouds
111,Busselton,AU,2021-08-10 03:24:28,-33.65,115.3333,46.09,73,93,27.0,overcast clouds
112,Bengkulu,ID,2021-08-10 03:24:28,-3.8004,102.2655,82.54,71,83,2.37,broken clouds
113,Tucuman,AR,2021-08-10 03:22:22,-26.8241,-65.2226,51.8,66,90,5.75,overcast clouds
114,Bredasdorp,ZA,2021-08-10 03:24:30,-34.5322,20.0403,42.12,81,0,1.14,clear sky
115,Lorengau,PG,2021-08-10 03:22:16,-2.0226,147.2712,84.47,70,15,8.9,few clouds
116,Chuy,UY,2021-08-10 03:24:30,-33.6971,-53.4616,52.59,93,99,12.26,overcast clouds
117,Carutapera,BR,2021-08-10 03:24:31,-1.195,-46.02,75.13,92,4,4.97,clear sky
118,Esperance,AU,2021-08-10 03:24:31,-33.8667,121.9,48.04,70,33,25.39,light rain
119,Manyana,BW,2021-08-10 03:24:32,-23.4,21.7167,43.47,68,3,8.52,clear sky
120,Brae,GB,2021-08-10 03:24:32,60.3964,-1.353,55.31,96,100,8.5,overcast clouds
121,Fairbanks,US,2021-08-10 03:20:36,64.8378,-147.7164,61.14,80,90,0.0,overcast clouds
122,Walvis Bay,NA,2021-08-10 03:24:34,-22.9575,14.5053,51.1,87,27,5.75,scattered clouds
123,Vao,NC,2021-08-10 03:24:34,-22.6667,167.4833,65.73,63,79,20.36,broken clouds
124,Charters Towers,AU,2021-08-10 03:19:56,-20.1,146.2667,78.04,32,0,10.47,clear sky
125,Khatanga,RU,2021-08-10 03:24:35,71.9667,102.5,69.55,41,96,6.35,overcast clouds
126,Waingapu,ID,2021-08-10 03:24:35,-9.6567,120.2641,84.06,57,7,8.39,clear sky
127,Brandon,US,2021-08-10 03:24:35,27.9378,-82.2859,80.91,91,1,1.01,clear sky
128,Qaqortoq,GL,2021-08-10 03:21:21,60.7167,-46.0333,45.1,66,7,3.51,clear sky
129,Opuwo,NA,2021-08-10 03:24:36,-18.0607,13.84,58.73,22,5,3.85,clear sky
130,Kihei,US,2021-08-10 03:24:36,20.785,-156.4656,83.46,76,40,17.27,scattered clouds
131,Mahebourg,MU,2021-08-10 03:20:01,-20.4081,57.7,70.25,94,20,5.75,few clouds
132,Ulaanbaatar,MN,2021-08-10 03:19:43,47.9077,106.8832,59.13,55,5,0.0,smoke
133,Mount Isa,AU,2021-08-10 03:24:37,-20.7333,139.5,82.17,15,0,8.05,clear sky
134,Hilo,US,2021-08-10 03:23:29,19.7297,-155.09,82.13,78,90,9.22,light rain
135,East London,ZA,2021-08-10 03:19:52,-33.0153,27.9116,56.68,59,59,13.18,broken clouds
136,Winslow,US,2021-08-10 03:24:39,35.0242,-110.6974,80.78,29,1,11.5,clear sky
137,Mandalgovi,MN,2021-08-10 03:24:39,45.7625,106.2708,66.06,38,76,2.42,broken clouds
138,Namatanai,PG,2021-08-10 03:24:39,-3.6667,152.4333,83.91,69,17,8.93,light rain
139,Tuatapere,NZ,2021-08-10 03:19:55,-46.1333,167.6833,47.82,93,100,10.85,overcast clouds
140,Khasan,RU,2021-08-10 03:24:40,42.4308,130.6434,70.84,73,87,8.57,moderate rain
141,Pimenteiras,BR,2021-08-10 03:24:40,-6.2453,-41.4192,73.81,60,5,6.64,clear sky
142,Vila Franca Do Campo,PT,2021-08-10 03:24:41,37.7167,-25.4333,68.41,81,36,2.19,scattered clouds
143,Moussoro,TD,2021-08-10 03:24:41,13.6408,16.4901,77.18,71,97,6.15,overcast clouds
144,Honningsvag,NO,2021-08-10 03:24:42,70.9821,25.9704,58.53,82,49,7.43,scattered clouds
145,Mount Gambier,AU,2021-08-10 03:24:42,-37.8333,140.7667,55.31,58,75,17.27,broken clouds
146,Antalaha,MG,2021-08-10 03:24:42,-14.9003,50.2788,64.58,88,4,5.82,clear sky
147,Quatre Cocos,MU,2021-08-10 03:24:43,-20.2078,57.7625,70.09,85,48,7.47,scattered clouds
148,Redmond,US,2021-08-10 03:24:06,47.674,-122.1215,75.11,64,62,1.01,broken clouds
149,Arraial Do Cabo,BR,2021-08-10 03:24:43,-22.9661,-42.0278,68.99,86,10,24.99,clear sky
150,Sao Filipe,CV,2021-08-10 03:19:48,14.8961,-24.4956,77.63,85,95,10.11,overcast clouds
151,Ballina,AU,2021-08-10 03:24:44,-28.8667,153.5667,69.84,56,24,11.5,few clouds
152,Talaya,RU,2021-08-10 03:24:44,61.3833,152.75,68.97,38,79,1.57,broken clouds
153,Bubaque,GW,2021-08-10 03:20:12,11.2833,-15.8333,78.48,85,100,8.86,light rain
154,Fort-Shevchenko,KZ,2021-08-10 03:24:45,44.5086,50.263,87.89,37,25,7.09,scattered clouds
155,Awash,ET,2021-08-10 03:24:45,8.9833,40.1667,69.24,83,100,4.45,light rain
156,Jutai,BR,2021-08-10 03:24:45,-5.1833,-68.9,77.18,64,14,2.59,few clouds
157,Oranjemund,NA,2021-08-10 03:24:46,-28.55,16.4333,52.21,60,0,11.3,clear sky
158,Thompson,CA,2021-08-10 03:24:46,55.7435,-97.8558,57.36,77,20,3.44,few clouds
159,Korla,CN,2021-08-10 03:24:47,41.7597,86.1469,81.09,35,5,4.7,clear sky
160,Aklavik,CA,2021-08-10 03:24:47,68.2191,-135.0107,49.03,73,100,10.56,overcast clouds
161,Hasaki,JP,2021-08-10 03:24:47,35.7333,140.8333,91.8,63,12,21.94,few clouds
162,Bundoran,IE,2021-08-10 03:24:48,54.4778,-8.2809,55.09,94,7,2.35,clear sky
163,Okhotsk,RU,2021-08-10 03:24:49,59.3833,143.3,64.62,56,22,10.02,few clouds
164,Nekhayevskiy,RU,2021-08-10 03:24:49,50.4106,41.7561,77.43,30,95,8.93,overcast clouds
165,Kanker,IN,2021-08-10 03:24:50,20.2719,81.4931,83.26,72,100,6.87,overcast clouds
166,Castro,BR,2021-08-10 03:24:50,-24.7911,-50.0119,57.76,64,14,3.4,few clouds
